Story World (old),Story World,Sub Story World,Grade,Subject,Unit,Chapter,Topic,Topic_ID,Concept,concept_code,CooboTitles,Experiments,Feature,Ideation,Assigned to,Scriptwriting,MediaFile,Production,LengthofCoboo,test,Stage
3370,Life,Genes And Us,12,Biology,Genetics and Evolution,Principles of Inheritance and Variation,Heredity and Variation,kglm239,Pleiotropic Genes,KG11034,The Gene,,,,,1,1,2,2,8,1
3372,Life,Genes And Us,12,Biology,Genetics and Evolution,Principles of Inheritance and Variation,Heredity and Variation,kglm239,Polygenic Inheritance,KG11036,The Gene,,,,,3,3,1,3,9,3
3373,Life,Genes And Us,12,Biology,Genetics and Evolution,Principles of Inheritance and Variation,Inheritance of Two Genes,kglm243,Chromosomal Basis of Inheritance,KG11037,Chromosomal Basis of Inheritance,,,,,4,3,4,1,7,3
3374,Life,Genes And Us,12,Biology,Genetics and Evolution,Principles of Inheritance and Variation,Sex Determination,kglm249,Sex Determination in Animals,KG11038,Chromosomal Basis of Inheritance,,,,,0,0,0,0,4,3
3379,Life,Genes And Us,12,Biology,Genetics and Evolution,Principles of Inheritance and Variation,Sex Determination,kglm249,Chromosomal Pattern in Different Organisms,KG11043,Chromosomal Basis of Inheritance,,,,,4,3,0,0,7,3
3380,Life,Genes And Us,12,Biology,Genetics and Evolution,Principles of Inheritance and Variation,Sex Determination,kglm249,XX-XY Type of Sex Determination,KG11044,Chromosomal Basis of Inheritance,,,,,1,1,4,4,5,4
3381,Life,Genes And Us,12,Biology,Genetics and Evolution,Principles of Inheritance and Variation,Sex Determination,kglm249,XX- X0 Type of Sex Determination,KG11045,Chromosomal Basis of Inheritance,,,,,4,1,1,0,8,1
3382,Life,Genes And Us,12,Biology,Genetics and Evolution,Principles of Inheritance and Variation,Sex Determination,kglm249,Sex Determination in Honey Bee,KG11046,Chromosomal Basis of Inheritance,,,,,1,2,0,0,5,4
3386,Life,Genes And Us,12,Biology,Genetics and Evolution,Principles of Inheritance and Variation,Inheritance of Two Genes,kglm243,Sex Linked Inheritance,KG11050,Chromosomal Basis of Inheritance,,,,,2,3,1,3,9,4
3388,Life,Genes And Us,12,Biology,Genetics and Evolution,Principles of Inheritance and Variation,Inheritance of Two Genes,kglm243,Linkage,KG11052,Chromosomal Basis of Inheritance,,,,,0,0,0,0,5,2
3392,Life,Genes And Us,12,Biology,Genetics and Evolution,Principles of Inheritance and Variation,Inheritance of Two Genes,kglm243,Crossing Over,KG11056,Chromosomal Basis of Inheritance,,,,,0,0,0,0,4,0
3396,Life,Genes And Us,12,Biology,Genetics and Evolution,Principles of Inheritance and Variation,Mutation,kglm251,Mutation,KG11060,Chromosomal Basis of Inheritance,,,,,2,3,3,0,6,0
3400,Life,Genes And Us,12,Biology,Genetics and Evolution,Principles of Inheritance and Variation,Mutation,kglm251,Mutation on the Basis of Occurrence,KG11064,Chromosomal Basis of Inheritance,,,,,1,0,0,0,10,2
3406,Life,Genes And Us,12,Biology,Genetics and Evolution,Principles of Inheritance and Variation,Genetic Disorders,kglm253,Genetic Disorders,KG11070,Genetic Disorders,,,,,2,3,2,3,5,2
3407,Life,Genes And Us,12,Biology,Genetics and Evolution,Principles of Inheritance and Variation,Genetic Disorders,kglm253,Chromosomal Disorders,KG11071,Genetic Disorders,,,,,3,4,2,1,4,2
3452,Life,Genes And Us,12,Biology,Genetics and Evolution,Principles of Inheritance and Variation,Genetic Disorders,kglm253,Pedigree Analysis,KG11116,Genetic Disorders,,,,,0,0,0,0,4,1
3453,Life,Genes And Us,12,Biology,Genetics and Evolution,Principles of Inheritance and Variation,Genetic Disorders,kglm253,Mendelian Disorders,KG11117,Genetic Disorders,,,,,2,1,4,4,5,1
3454,Life,Genes And Us,12,Biology,Genetics and Evolution,Principles of Inheritance and Variation,Genetic Disorders,kglm253,Haemophilia,KG11118,Genetic Disorders,,,,,3,3,0,0,6,1
3455,Life,Genes And Us,12,Biology,Genetics and Evolution,Principles of Inheritance and Variation,Genetic Disorders,kglm253,Colour Blindness,KG11119,Genetic Disorders,,,,,0,0,0,0,9,1
3456,Life,Genes And Us,12,Biology,Genetics and Evolution,Principles of Inheritance and Variation,Genetic Disorders,kglm253,Cystic Fibrosis,KG11120,Genetic Disorders,,,,,0,0,0,0,4,1
3457,Life,Genes And Us,12,Biology,Genetics and Evolution,Principles of Inheritance and Variation,Genetic Disorders,kglm253,Sickle-cell Anaemia,KG11121,Genetic Disorders,,,,,1,2,4,0,10,4
3458,Life,Genes And Us,12,Biology,Genetics and Evolution,Principles of Inheritance and Variation,Genetic Disorders,kglm253,Phenylketonuria,KG11122,Genetic Disorders,,,,,0,0,0,0,8,4
3459,Life,Genes And Us,12,Biology,Genetics and Evolution,Principles of Inheritance and Variation,Genetic Disorders,kglm253,Thalassemia,KG11123,Genetic Disorders,,,,,4,0,0,0,8,2
3460,Life,Genes And Us,12,Biology,Genetics and Evolution,Principles of Inheritance and Variation,Genetic Disorders,kglm253,Down’s Syndrome,KG11124,Genetic Disorders,,,,,1,3,3,0,9,2
3461,Life,Genes And Us,12,Biology,Genetics and Evolution,Principles of Inheritance and Variation,Genetic Disorders,kglm253,Klinefelter’s Syndrome,KG11125,Genetic Disorders,,,,,0,0,0,0,6,3
3462,Life,Genes And Us,12,Biology,Genetics and Evolution,Principles of Inheritance and Variation,Genetic Disorders,kglm253,Turner’s Syndrome,KG11126,Genetic Disorders,,,,,0,0,0,0,4,3
3463,I Love Myself,My Safety,12,Biology,Reproduction,Reproductive Health,Reproductive Health- Problems and Strategies,kglm256,Reproductive Health,KG11127,Sex Education,,,,,4,2,1,3,10,3
3464,I Love Myself,My Safety,12,Biology,Reproduction,Reproductive Health,Reproductive Health- Problems and Strategies,kglm256,Reproductive Health Problems and Strategies,KG11128,Sex Education,,,,,1,0,0,0,10,3
3466,I Love Myself,My Safety,12,Biology,Reproduction,Reproductive Health,Reproductive Health- Problems and Strategies,kglm256,Reproductive and Child Health Care Programmes,KG11130,Sex Education,,,,,2,3,2,0,10,4
3467,I Love Myself,My Safety,12,Biology,Reproduction,Reproductive Health,Reproductive Health- Problems and Strategies,kglm256,Sex Education,KG11131,Sex Education,,,,,0,0,0,0,10,4
3468,A Visit to the Doctor,A Visit to the Doctor,12,Biology,Reproduction,Reproductive Health,Reproductive Health- Problems and Strategies,kglm256,Amniocentesis,KG11132,Sex Education,,,,,3,1,1,4,8,1
3470,I Love Myself,My Safety,12,Biology,Reproduction,Reproductive Health,Reproductive Health- Problems and Strategies,kglm256,Saheli: a New Oral Contraceptive,KG11134,"Birth Control: natural, chemical and surgery",,,,,1,0,0,0,10,1
3471,I Love Myself,My Safety,12,Biology,Reproduction,Reproductive Health,Human Population Explosion and Birth Control,kglm258,Population Explosion and Birth Control,KG11135,"Birth Control: natural, chemical and surgery",,,,,4,0,0,0,9,1
3472,I Love Myself,My Safety,12,Biology,Reproduction,Reproductive Health,Human Population Explosion and Birth Control,kglm258,Birth Control,KG11136,"Birth Control: natural, chemical and surgery",,,,,2,0,0,0,9,4
3473,I Love Myself,My Safety,12,Biology,Reproduction,Reproductive Health,Human Population Explosion and Birth Control,kglm258,Natural Methods,KG11137,"Birth Control: natural, chemical and surgery",,,,,4,4,1,1,9,4
3475,I Love Myself,My Safety,12,Biology,Reproduction,Reproductive Health,Human Population Explosion and Birth Control,kglm258,Coitus Interruptus,KG11139,"Birth Control: natural, chemical and surgery",,,,,3,0,0,0,9,4
3476,I Love Myself,My Safety,12,Biology,Reproduction,Reproductive Health,Human Population Explosion and Birth Control,kglm258,Lactational Amenorrhea,KG11140,"Birth Control: natural, chemical and surgery",,,,,3,0,0,0,9,1
3477,I Love Myself,My Safety,12,Biology,Reproduction,Reproductive Health,Human Population Explosion and Birth Control,kglm258,Barrier Methods,KG11141,"Birth Control: natural, chemical and surgery",,,,,0,0,0,0,7,1
3482,I Love Myself,My Safety,12,Biology,Reproduction,Reproductive Health,Human Population Explosion and Birth Control,kglm258,Intrauterine Devices,KG11146,"Birth Control: natural, chemical and surgery",,,,,1,1,2,1,5,1
3486,I Love Myself,My Safety,12,Biology,Reproduction,Reproductive Health,Human Population Explosion and Birth Control,kglm258,Oral Contraceptive Pills,KG11150,"Birth Control: natural, chemical and surgery",,,,,3,1,1,0,4,1
3487,I Love Myself,My Safety,12,Biology,Reproduction,Reproductive Health,Human Population Explosion and Birth Control,kglm258,Contraceptive Implants,KG11151,"Birth Control: natural, chemical and surgery",,,,,4,0,0,0,9,1
3488,I Love Myself,My Safety,12,Biology,Reproduction,Reproductive Health,Human Population Explosion and Birth Control,kglm258,Sterilisation,KG11152,"Birth Control: natural, chemical and surgery",,,,,1,1,4,2,8,1
3489,I Love Myself,My Safety,12,Biology,Reproduction,Reproductive Health,Human Population Explosion and Birth Control,kglm258,Vasectomy,KG11153,"Birth Control: natural, chemical and surgery",,,,,2,3,1,4,9,1
3490,I Love Myself,My Safety,12,Biology,Reproduction,Reproductive Health,Human Population Explosion and Birth Control,kglm258,Tubectomy,KG11154,"Birth Control: natural, chemical and surgery",,,,,4,4,0,0,7,1
3491,A Visit to the Doctor,A Visit to the Doctor,12,Biology,Reproduction,Reproductive Health,Medical Termination of Pregnancy,kglm260,Medical Termination of Pregnancy,KG11155,"Birth Control: natural, chemical and surgery",,,,,4,1,2,2,5,1
3492,A Visit to the Doctor,A Visit to the Doctor,12,Biology,Reproduction,Reproductive Health,Sexually Transmitted Diseases,kglm262,Sexually Transmitted Diseases,KG11156,Sexually Transmitted Diseases,,,,,2,3,4,0,9,2
3493,A Visit to the Doctor,A Visit to the Doctor,12,Biology,Reproduction,Reproductive Health,Sexually Transmitted Diseases,kglm262,Gonorrhoea,KG11157,Sexually Transmitted Diseases,,,,,1,2,2,2,6,2
3494,A Visit to the Doctor,A Visit to the Doctor,12,Biology,Reproduction,Reproductive Health,Sexually Transmitted Diseases,kglm262,Syphilis,KG11158,Sexually Transmitted Diseases,,,,,2,4,0,0,7,0
3495,A Visit to the Doctor,A Visit to the Doctor,12,Biology,Reproduction,Reproductive Health,Sexually Transmitted Diseases,kglm262,Genital Herpes,KG11159,Sexually Transmitted Diseases,,,,,2,2,0,0,7,4
3496,A Visit to the Doctor,A Visit to the Doctor,12,Biology,Reproduction,Reproductive Health,Sexually Transmitted Diseases,kglm262,Chlamydiasis,KG11160,Sexually Transmitted Diseases,,,,,3,4,0,0,8,4
3497,A Visit to the Doctor,A Visit to the Doctor,12,Biology,Reproduction,Reproductive Health,Sexually Transmitted Diseases,kglm262,Genital Warts,KG11161,Sexually Transmitted Diseases,,,,,1,4,0,0,10,0
3498,A Visit to the Doctor,A Visit to the Doctor,12,Biology,Reproduction,Reproductive Health,Sexually Transmitted Diseases,kglm262,Trichomoniasis,KG11162,Sexually Transmitted Diseases,,,,,0,0,0,0,4,0
3499,A Visit to the Doctor,A Visit to the Doctor,12,Biology,Reproduction,Reproductive Health,Sexually Transmitted Diseases,kglm262,Hepatitis-B,KG11163,Sexually Transmitted Diseases,,,,,4,3,0,0,8,4
3500,A Visit to the Doctor,A Visit to the Doctor,12,Biology,Reproduction,Reproductive Health,Sexually Transmitted Diseases,kglm262,Pelvic Inflammatory Diseases,KG11164,Sexually Transmitted Diseases,,,,,0,0,0,0,6,4
3515,A Visit to the Doctor,A Visit to the Doctor,12,Biology,Reproduction,Reproductive Health,Sexually Transmitted Diseases,kglm262,Reproductive Tract Infection,KG11179,Sexually Transmitted Diseases,,,,,1,1,1,3,10,4
3516,A Visit to the Doctor,A Visit to the Doctor,12,Biology,Reproduction,Reproductive Health,Sexually Transmitted Diseases,kglm262,HIV,KG11180,Sexually Transmitted Diseases,,,,,2,2,2,4,6,0
3503,A Visit to the Doctor,A Visit to the Doctor,12,Biology,Reproduction,Reproductive Health,Infertility,kglm264,Infertility,KG11167,Assisted Reproductive Technologies,,,,,4,0,0,0,4,0
3504,A Visit to the Doctor,A Visit to the Doctor,12,Biology,Reproduction,Reproductive Health,Infertility,kglm264,Assisted Reproductive Technologies,KG11168,Assisted Reproductive Technologies,,,,,1,1,4,1,9,3
3505,A Visit to the Doctor,A Visit to the Doctor,12,Biology,Reproduction,Reproductive Health,Infertility,kglm264,In Vitro Fertilisation,KG11169,Assisted Reproductive Technologies,,,,,2,1,3,1,9,1
3511,A Visit to the Doctor,A Visit to the Doctor,12,Biology,Reproduction,Reproductive Health,Infertility,kglm264,Gamete Intra Fallopian Transfer,KG11175,Assisted Reproductive Technologies,,,,,4,2,1,2,9,1
3512,A Visit to the Doctor,A Visit to the Doctor,12,Biology,Reproduction,Reproductive Health,Infertility,kglm264,Intracytoplasmic Sperm Injection,KG11176,Assisted Reproductive Technologies,,,,,1,1,0,0,10,4
3513,A Visit to the Doctor,A Visit to the Doctor,12,Biology,Reproduction,Reproductive Health,Infertility,kglm264,Artificial Insemination,KG11177,Assisted Reproductive Technologies,,,,,1,0,0,0,7,4
3514,A Visit to the Doctor,A Visit to the Doctor,12,Biology,Reproduction,Reproductive Health,Infertility,kglm264,Intrauterine Insemination,KG11178,Assisted Reproductive Technologies,,,,,2,4,2,3,10,4
3517,Our Beautiful planet,Our Earth,12,Biology,Ecology,Biodiversity and Conservation,Biodiversity,kglm267,Biodiversity and Conservation,KG11181,Biodiversity and Conservation,,,,,1,3,3,1,5,4
3518,Our Beautiful planet,Our Earth,12,Biology,Ecology,Biodiversity and Conservation,Biodiversity,kglm267,Biodiversity,KG11182,Biodiversity and Conservation,,,,,0,0,0,0,9,3
3520,Our Beautiful planet,Our Earth,12,Biology,Ecology,Biodiversity and Conservation,Biodiversity,kglm267,Genetic Diversity,KG11184,Biodiversity and Conservation,,,,,0,0,0,0,6,1
3521,Our Beautiful planet,Our Earth,12,Biology,Ecology,Biodiversity and Conservation,Biodiversity,kglm267,Species Diversity,KG11185,Biodiversity and Conservation,,,,,0,0,0,0,6,1
3522,Our Beautiful planet,Our Earth,12,Biology,Ecology,Biodiversity and Conservation,Biodiversity,kglm267,Ecological Diversity,KG11186,Biodiversity and Conservation,,,,,1,1,0,0,10,4
3523,Our Beautiful planet,Our Earth,12,Biology,Ecology,Biodiversity and Conservation,Biodiversity,kglm267,Community and Ecosystem Diversity,KG11187,Biodiversity and Conservation,,,,,4,4,0,0,10,0
3525,Our Beautiful planet,Our Earth,12,Biology,Ecology,Biodiversity and Conservation,Patterns of Biodiversity,kglm269,Patterns of Biodiversity,KG11189,Biodiversity and Conservation,,,,,2,2,0,0,6,3
3526,Our Beautiful planet,Our Earth,12,Biology,Ecology,Biodiversity and Conservation,Patterns of Biodiversity,kglm269,Latitudinal and Altitudinal Gradient,KG11190,Biodiversity and Conservation,,,,,4,1,3,4,7,4
3527,Our Beautiful planet,Our Earth,12,Biology,Ecology,Biodiversity and Conservation,Patterns of Biodiversity,kglm269,Species-area Relationships,KG11191,Biodiversity and Conservation,,,,,3,2,2,0,4,2
3528,Our Beautiful planet,Our Earth,12,Biology,Ecology,Biodiversity and Conservation,Patterns of Biodiversity,kglm269,Benefits of Biodiversity,KG11192,Biodiversity and Conservation,,,,,4,3,1,0,7,2
3529,Our Beautiful planet,Our Earth,12,Biology,Ecology,Biodiversity and Conservation,Patterns of Biodiversity,kglm269,Threats to Biodiversity,KG11193,Biodiversity and Conservation,,,,,0,0,0,0,8,2
3530,Our Beautiful planet,Our Earth,12,Biology,Ecology,Biodiversity and Conservation,Patterns of Biodiversity,kglm269,Loss of Biodiversity,KG11194,Biodiversity and Conservation,,,,,1,0,0,0,9,2
3531,Our Beautiful planet,Our Earth,12,Biology,Ecology,Biodiversity and Conservation,Patterns of Biodiversity,kglm269,Extinction,KG11195,Extinction,,,,,4,0,0,0,9,0
3532,Our Beautiful planet,Our Earth,12,Biology,Ecology,Biodiversity and Conservation,Patterns of Biodiversity,kglm269,Types of Extinction,KG11196,Extinction,,,,,2,2,4,3,6,1
3533,Our Beautiful planet,Our Earth,12,Biology,Ecology,Biodiversity and Conservation,Patterns of Biodiversity,kglm269,Natural Extinction,KG11197,Extinction,,,,,3,0,0,0,5,0
3534,Our Beautiful planet,Our Earth,12,Biology,Ecology,Biodiversity and Conservation,Patterns of Biodiversity,kglm269,Mass Extinction,KG11198,Extinction,,,,,1,1,3,4,7,2
3535,Our Beautiful planet,Our Earth,12,Biology,Ecology,Biodiversity and Conservation,Patterns of Biodiversity,kglm269,Anthropogenic Extinction,KG11199,Extinction,,,,,1,3,4,3,4,2
3536,Our Beautiful planet,Our Earth,12,Biology,Ecology,Biodiversity and Conservation,Patterns of Biodiversity,kglm269,Factors Contributing to Extinction,KG11200,Extinction,,,,,2,4,3,3,7,4
3539,Our Beautiful planet,Our Earth,12,Biology,Ecology,Biodiversity and Conservation,Patterns of Biodiversity,kglm269,Destruction of Habitats and Fragmentation,KG11203,Extinction,,,,,4,4,3,1,8,4
3540,Our Beautiful planet,Our Earth,12,Biology,Ecology,Biodiversity and Conservation,Patterns of Biodiversity,kglm269,Introduction of Exotic Species,KG11204,Extinction,,,,,2,1,4,1,5,4
3541,Our Beautiful planet,Our Earth,12,Biology,Ecology,Biodiversity and Conservation,Patterns of Biodiversity,kglm269,Co-extinctions,KG11205,Extinction,,,,,0,0,0,0,9,4
3542,Our Beautiful planet,Our Earth,12,Biology,Ecology,Biodiversity and Conservation,Patterns of Biodiversity,kglm269,IUCN Red List Categories,KG11206,Extinction,,,,,3,4,3,2,8,1
3543,Our Beautiful planet,Our Earth,12,Biology,Ecology,Biodiversity and Conservation,Patterns of Biodiversity,kglm269,Extinct,KG11207,Extinction,,,,,1,1,1,1,4,1
3544,Our Beautiful planet,Our Earth,12,Biology,Ecology,Biodiversity and Conservation,Patterns of Biodiversity,kglm269,Extinct in the Wild,KG11208,Extinction,,,,,4,2,4,2,5,1
3545,Our Beautiful planet,Our Earth,12,Biology,Ecology,Biodiversity and Conservation,Patterns of Biodiversity,kglm269,Critically Endangered,KG11209,Extinction,,,,,2,1,2,4,7,1
3546,Our Beautiful planet,Our Earth,12,Biology,Ecology,Biodiversity and Conservation,Patterns of Biodiversity,kglm269,Endangered,KG11210,Extinction,,,,,0,0,0,0,9,3
3547,Our Beautiful planet,Our Earth,12,Biology,Ecology,Biodiversity and Conservation,Patterns of Biodiversity,kglm269,Vulnerable,KG11211,Extinction,,,,,4,1,4,0,10,3
3548,Our Beautiful planet,Our Earth,12,Biology,Ecology,Biodiversity and Conservation,Patterns of Biodiversity,kglm269,Lower Risk Species,KG11212,Extinction,,,,,0,0,0,0,9,3
3549,Our Beautiful planet,Our Earth,12,Biology,Ecology,Biodiversity and Conservation,Patterns of Biodiversity,kglm269,Status of Threatened Species,KG11213,Extinction,,,,,4,0,0,0,8,0
3550,Our Beautiful planet,Our Earth,12,Biology,Ecology,Biodiversity and Conservation,Conservation of Biodiversity,kglm271,Conservation of Biodiversity,KG11214,Conservation of Biodiversity,,,,,1,3,2,2,10,0
3551,Our Beautiful planet,Our Earth,12,Biology,Ecology,Biodiversity and Conservation,Conservation of Biodiversity,kglm271,Methods of Conservation of Biodiversity,KG11215,Conservation of Biodiversity,,,,,2,3,2,1,5,4
3552,Our Beautiful planet,Our Earth,12,Biology,Ecology,Biodiversity and Conservation,Conservation of Biodiversity,kglm271,In Situ Conservation of Biodiversity,KG11216,Conservation of Biodiversity,,,,,1,0,0,0,10,4
3558,Our Beautiful planet,Our Earth,12,Biology,Ecology,Biodiversity and Conservation,Conservation of Biodiversity,kglm271,Ex Situ Conservation of Biodiversity,KG11222,Conservation of Biodiversity,,,,,0,0,0,0,10,4
3563,Our Beautiful planet,Our Earth,12,Biology,Ecology,Biodiversity and Conservation,Conservation of Biodiversity,kglm271,Hotspots of Biodiversity,KG11227,Conservation of Biodiversity,,,,,3,1,0,0,4,4
3564,Our Beautiful planet,Our Earth,12,Biology,Ecology,Biodiversity and Conservation,Conservation of Biodiversity,kglm271,National and International Efforts for Conserving Biodiversity,KG11228,Conservation of Biodiversity,,,,,2,3,1,1,4,3
19397,Our Beautiful planet,Our Earth,12,Biology,Biotechnology,Biotechnology and its Applications,Biotechnology in Agriculture,kglm204,Biotechnology and its Application,KG20603,Biotechnology and Its Application,,,,,4,2,3,3,5,1
19398,Fun with Science,Into The Future,12,Biology,Biotechnology,Biotechnology and its Applications,Biotechnology in Agriculture,kglm204,Genetically Modified Organisms,KG20604,Biotechnology and Its Application,,,,,4,4,0,0,8,1
19399,Fun with Science,Into The Future,12,Biology,Biotechnology,Biotechnology and its Applications,Transgenic Animals,kglm206,Transgenic Animals,KG20605,Biotechnology and Its Application,,,,,0,0,0,0,8,0
19400,Fun with Science,Into The Future,12,Biology,Biotechnology,Biotechnology and its Applications,Biotechnology in Agriculture,kglm204,Transgenic Plants,KG20606,Biotechnology and Its Application,,,,,4,1,0,0,6,0
19401,Fun with Science,Into The Future,12,Biology,Biotechnology,Biotechnology and its Applications,Transgenic Animals,kglm206,Transgenic Microorganisms,KG20607,Biotechnology and Its Application,,,,,4,3,2,4,7,0
19402,Fun with Science,Into The Future,12,Biology,Biotechnology,Biotechnology and its Applications,Biotechnology in Agriculture,kglm204,Biotechnological Applications in Agriculture,KG20608,Biotechnological Applications in Agriculture,,,,,1,1,4,3,7,3
19403,Fun with Science,Into The Future,12,Biology,Biotechnology,Biotechnology and its Applications,Biotechnology in Agriculture,kglm204,Insect Resistance in Plant,KG20609,Biotechnological Applications in Agriculture,,,,,3,4,4,4,9,3
19404,Fun with Science,Into The Future,12,Biology,Biotechnology,Biotechnology and its Applications,Biotechnology in Agriculture,kglm204,Bt Cotton,KG20610,Biotechnological Applications in Agriculture,,,,,1,2,2,4,9,3
19405,Fun with Science,Into The Future,12,Biology,Biotechnology,Biotechnology and its Applications,Biotechnology in Agriculture,kglm204,Pest Resistant Plants,KG20611,Biotechnological Applications in Agriculture,,,,,4,2,4,2,10,0
19406,Fun with Science,Into The Future,12,Biology,Biotechnology,Biotechnology and its Applications,Biotechnology in Agriculture,kglm204,RNA Interference,KG20612,Biotechnological Applications in Agriculture,,,,,3,0,0,0,7,0
19408,Fun with Science,Into The Future,12,Biology,Biotechnology,Biotechnology and its Applications,Biotechnology in Agriculture,kglm204,Golden Rice,KG20614,Biotechnological Applications in Agriculture,,,,,3,1,3,4,4,3
19409,Fun with Science,Into The Future,12,Biology,Biotechnology,Biotechnology and its Applications,Biotechnology in Healthcare and Medicine,kglm208,Biotechnological Applications in Medicine,KG20615,Biotechnological Applications in Medicine,,,,,0,0,0,0,9,3
19410,Fun with Science,Into The Future,12,Biology,Biotechnology,Biotechnology and its Applications,Biotechnology in Healthcare and Medicine,kglm208,Genetically Engineered Insulin,KG20616,Biotechnological Applications in Medicine,,,,,3,4,2,3,10,3
19412,Fun with Science,Into The Future,12,Biology,Biotechnology,Biotechnology and its Applications,Biotechnology in Healthcare and Medicine,kglm208,Gene Therapy,KG20618,Biotechnological Applications in Medicine,,,,,2,4,1,0,7,3
19413,Fun with Science,Into The Future,12,Biology,Biotechnology,Biotechnology and its Applications,Biotechnology in Healthcare and Medicine,kglm208,Molecular Diagnosis of Diseases,KG20619,Biotechnological Applications in Medicine,,,,,0,0,0,0,10,1
19414,Fun with Science,Into The Future,12,Biology,Biotechnology,Biotechnology and its Applications,Biotechnology in Healthcare and Medicine,kglm208,ELISA,KG20620,Biotechnological Applications in Medicine,,,,,4,4,1,2,6,1
19415,Fun with Science,Into The Future,12,Biology,Biotechnology,Biotechnology and its Applications,Ethical Issues in Biotechnology,kglm210,Ethical Issues in Biotechnology,KG20621,Biotechnological Applications in Medicine,,,,,1,1,4,3,4,1
19416,Fun with Science,Into The Future,12,Biology,Biotechnology,Biotechnology and its Applications,Ethical Issues in Biotechnology,kglm210,Genetic Engineering Approval Committee,KG20622,Biotechnological Applications in Medicine,,,,,2,3,1,2,8,1
19417,Fun with Science,Into The Future,12,Biology,Biotechnology,Biotechnology and its Applications,Ethical Issues in Biotechnology,kglm210,Biopiracy,KG20623,Biopiracy,,,,,0,0,0,0,4,3
19418,Fun with Science,Into The Future,12,Biology,Biotechnology,Biotechnology and its Applications,Ethical Issues in Biotechnology,kglm210,Biopatent,KG20624,Biopiracy,,,,,3,1,3,2,6,0
19419,Fun with Science,Into The Future,12,Biology,Biotechnology,Biotechnology and its Applications,Ethical Issues in Biotechnology,kglm210,Controversies in India regarding Patent and Biopiracy,KG20625,Biopiracy,,,,,2,4,0,0,10,3
19420,Fun with Science,Into The Future,12,Biology,Biotechnology,Biotechnology and its Applications,Biotechnology in Agriculture,kglm204,Green Revolution,KG20626,Food Production: Plant Breeding,,,,,4,3,2,4,8,2
17465,Power a Village,Cells and Batteries,12,Chemistry,Physical Chemistry,Surface Chemistry,Importance of Surface Chemistry,kglm3473,Surface Chemistry,KG18671,Surface Chemistry,,,,,4,3,3,0,5,2
17466,Power a Village,Cells and Batteries,12,Chemistry,Physical Chemistry,Surface Chemistry,Adsorption,kglm3475,Adsorption,KG18672,Adsorption,,,,,2,0,0,0,8,2
17467,Power a Village,Cells and Batteries,12,Chemistry,Physical Chemistry,Surface Chemistry,Adsorption,kglm3475,Adsorbent,KG18673,Adsorption,,,,,0,0,0,0,4,4
17468,Power a Village,Cells and Batteries,12,Chemistry,Physical Chemistry,Surface Chemistry,Adsorption,kglm3475,Adsorbate,KG18674,Adsorption,,,,,2,3,2,0,6,4
17469,Power a Village,Cells and Batteries,12,Chemistry,Physical Chemistry,Surface Chemistry,Adsorption,kglm3475,Adsorption of Gases on Solids,KG18675,Adsorption,,,,,2,0,0,0,9,4
17470,Power a Village,Cells and Batteries,12,Chemistry,Physical Chemistry,Surface Chemistry,Adsorption,kglm3475,Mechanism of Adsorption,KG18676,Adsorption,,,,,2,2,1,2,4,4
17473,Power a Village,Cells and Batteries,12,Chemistry,Physical Chemistry,Surface Chemistry,Absorption,kglm3477,Absorption,KG18679,Digestion of Fats,,,,,4,4,0,0,7,3
17474,Power a Village,Cells and Batteries,12,Chemistry,Physical Chemistry,Surface Chemistry,Adsorption,kglm3475,Desorption,KG18680,Surface Chemistry,,,,,0,0,0,0,7,0
17476,Power a Village,Cells and Batteries,12,Chemistry,Physical Chemistry,Surface Chemistry,Adsorption,kglm3475,Degree of Adsorption,KG18682,,,,,,4,2,4,4,5,2
17477,Power a Village,Cells and Batteries,12,Chemistry,Physical Chemistry,Surface Chemistry,Adsorption,kglm3475,Enthalpy of Adsorption,KG18683,,,,,,4,0,0,0,8,2
17478,Power a Village,Cells and Batteries,12,Chemistry,Physical Chemistry,Surface Chemistry,Adsorption,kglm3475,Entropy of Adsorption,KG18684,,,,,,4,0,0,0,4,2
17479,Power a Village,Cells and Batteries,12,Chemistry,Physical Chemistry,Surface Chemistry,Adsorption,kglm3475,Gibbs Free Energy of Adsorption,KG18685,,,,,,2,1,1,2,8,2
17480,Power a Village,Cells and Batteries,12,Chemistry,Physical Chemistry,Surface Chemistry,Adsorption,kglm3475,Thermodynamic Principle of Adsorption,KG18686,,,,,,1,3,4,1,5,4
17481,Power a Village,Cells and Batteries,12,Chemistry,Physical Chemistry,Surface Chemistry,Adsorption,kglm3475,Distinction between Adsorption and Absorption,KG18687,,,,,,1,3,3,1,6,4
17482,Power a Village,Cells and Batteries,12,Chemistry,Physical Chemistry,Surface Chemistry,Adsorption,kglm3475,Factors Affecting the Adsorption of Gases on Solids,KG18688,Emulsions,,,,,4,4,4,1,5,1
17483,Power a Village,Cells and Batteries,12,Chemistry,Physical Chemistry,Surface Chemistry,Adsorption,kglm3475,Effect of Nature of Adsorbent on Adsorption,KG18689,Emulsions,,,,,0,0,0,0,7,0
17484,Power a Village,Cells and Batteries,12,Chemistry,Physical Chemistry,Surface Chemistry,Adsorption,kglm3475,Effect of Nature of Adsorbate on Adsorption,KG18690,Emulsions,,,,,4,3,4,4,8,3
